,Company Name,Location,Companylink
35,                   Trading Capital                 ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/trading-capital-15-1243894
36,                   Bakslap                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/bakslap-15-1093789
37,                   LeadUs                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/leadus-15-1201563
38,                   Cut Flower supply chain                 ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/cut-flower-supply-chain-15-1239621
39,                   Pepe Health Distribution                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/pepe-health-distribution-15-1238619
40,                   Production Music Company                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/production-music-company-15-773422
41,                   Australian Lingerie Brand                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/australian-lingerie-brand-15-993735
42,                   FoodSt.com.au                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/foodstcomau-15-792366
43,                   New Directed Energy Tech                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/new-directed-energy-tech-15-1238833
44,                   R U bubbles to our bath?                ,"                   Western Australia, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/r-u-bubbles-to-our-bath-15-1246004
45,                   Swan Song                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/swan-song-15-1252850
46,                   The Unbillable Hour                 ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/the-unbillable-hour-15-1248788
47,                   Motorhaus Garage                 ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/motorhaus-garage-15-1093804
48,                   Award Winning Brewing                ,"                   Western Australia, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/award-winning-brewing-15-1197506
49,                   Empty Container Trailer                ,"                   Western Australia, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/empty-container-trailer-15-1242298
50,                   Fauto Dynamic Partnership                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/fauto-dynamic-partnership-15-1206235
51,                   Tanya Pearson Academy                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/tanya-pearson-academy-15-1244278
52,                   Nothing PICKLELY here.                 ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/nothing-picklely-here-15-1246444
53,                   PULPX                 ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/pulpx-15-1251155
54,                   Grow Waku Space                ,"                   Capital Territory, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/grow-waku-space-15-1243061
55,                   Ideal Conditions                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/ideal-conditions-15-1236790
56,                   Neuratech Nootropics                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/neuratech-nootropics-15-1241166
57,                   Giveaway Trade Promotion                 ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/giveaway-trade-promotion-15-1250076
58,                   CAT4 Universal Database                ,                   New Zealand                ,https://www.australianinvestmentnetwork.com/business-proposals/cat4-universal-database-15-1215970
59,                   Air Future Ltd                ,                   New Zealand                ,https://www.australianinvestmentnetwork.com/business-proposals/air-future-ltd-15-1215421
60,                   Barbering Investment                 ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/barbering-investment-15-1227106
61,                   Asian Board Game Club                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/asian-board-game-club-15-1248522
62,                   Unique Fire Safety Device                ,                   United Kingdom                ,https://www.australianinvestmentnetwork.com/business-proposals/unique-fire-safety-device-15-1229716
63,                   Home Building company                 ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/home-building-company-15-1253060
64,                   Passionate Compassionate                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/passionate-compassionate-15-1252785
65,                   Annual Dividend + Buyback                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/annual-dividend-buyback-15-1241940
66,                   Fastfood Gap Identified                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/fastfood-gap-identified-15-1240213
67,                   Trading Partner                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/trading-partner-15-1248230
68,                   Reading for Everyone                 ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/reading-for-everyone-15-1250942
69,                   Inspired MMM Coaching                ,"                   South Australia, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/inspired-mmm-coaching-15-1255223
70,                   Revegetation App                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/revegetation-app-15-1246182
71,                   A little hidden gem.                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/a-little-hidden-gem-15-1249088
72,                   Relaxation and wellness                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/relaxation-and-wellness-15-1249778
73,                   Business expansion                ,"                   South Australia, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/business-expansion-15-1251275
74,"                   Goats, Not Toxic Sprays                ","                   Tasmania, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/goats-not-toxic-sprays-15-1248188
75,                   acQyr eXchange                ,"                   West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/acqyr-exchange-15-1190367
76,                   Big Data Platform                 ,"                   North East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/big-data-platform-15-680637
77,                   Series A Funding                ,"                   Tasman , New Zealand                ",https://www.australianinvestmentnetwork.com/business-proposals/series-funding-15-1247943
78,                   Paperclip                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/paperclip-15-873804
79,                   Xerve (Rs. 10L = 5Cr ROI)                ,"                   Karnataka, India                ",https://www.australianinvestmentnetwork.com/business-proposals/xerve-rs-10l-5cr-roi--15-233469
80,"                   Nimbus Engineering, Inc.                ","                   West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/nimbus-engineering-inc-15-1254351
81,                   SeeMeSave                ,"                   Gauteng, South Africa                ",https://www.australianinvestmentnetwork.com/business-proposals/seemesave-15-1254158
82,                   Stamp Free                ,"                   Scotland, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/stamp-free-15-1213339
83,                   The Healing Hub-Wellbeing                ,"                   South East, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/the-healing-hub-wellbeing-15-1247368
84,                   Crocket - Baño con...                ,"                   Fuera de América del Sur, Spain                ",https://www.australianinvestmentnetwork.com/business-proposals/crocket-bano-con-diseno-15-1249457
85,                   cornhillgate oil and gas                ,                   Nigeria                ,https://www.australianinvestmentnetwork.com/business-proposals/cornhillgate-oil-and-gas-15-1248839
86,                   Sky`s The Limit // Movie                ,"                   Norway, Norway                ",https://www.australianinvestmentnetwork.com/business-proposals/skys-the-limit-movie-15-1246104
87,                   ESTIMATED ROI: 272%-466%                ,"                   South West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/estimated-roi-272-466--15-1172568
88,                   RISE inc.                ,"                   North East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/rise-inc-15-1238854
89,                   Tinnitus Therapy                ,"                   Eastern, Switzerland                ",https://www.australianinvestmentnetwork.com/business-proposals/tinnitus-therapy-15-1244685
90,                   Tinnitus Therapy                ,"                   Eastern, Switzerland                ",https://www.australianinvestmentnetwork.com/business-proposals/tinnitus-therapy-15-1246576
91,                   Revolancer                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/revolancer-15-1243125
92,                   Olivia's Chicken                ,"                   Quebec, Canada                ",https://www.australianinvestmentnetwork.com/business-proposals/olivias-chicken-15-1244153
93,                   Daniko                 ,"                   Baden-Württemberg, Germany                ",https://www.australianinvestmentnetwork.com/business-proposals/daniko-15-1232035
94,                   QuickFMS SaaS Product                ,"                   Telangana, India                ",https://www.australianinvestmentnetwork.com/business-proposals/quickfms-saas-product-15-72318
95,                   Twyn - Infinite Scaling                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/twyn-infinite-scaling-15-1243933
96,                   CWS Capital                ,"                   Alberta, Canada                ",https://www.australianinvestmentnetwork.com/business-proposals/cws-capital-15-1178775
97,                   Executive Grade                ,"                   North Holland, Netherlands                ",https://www.australianinvestmentnetwork.com/business-proposals/executive-grade-15-1218291
98,                   40% ROI Estate Investment                ,                   South Africa                ,https://www.australianinvestmentnetwork.com/business-proposals/40-roi-estate-investment-15-1250273
99,                   LifeBridge Innovations                ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/lifebridge-innovations-15-1239835
100,                   Dream Quant Software                ,"                   Midwest, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/dream-quant-software-15-1237142
101,                   Non-Chem Biofertilizer                ,                   Norway                ,https://www.australianinvestmentnetwork.com/business-proposals/non-chem-biofertilizer-15-1248006
102,                   LDN CBD                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/ldn-cbd-15-1241137
103,                   The Cirkel                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/the-cirkel-15-1225148
104,                   Unique Furniture Platform                ,"                   Geneva, Switzerland                ",https://www.australianinvestmentnetwork.com/business-proposals/unique-furniture-platform-15-1237814
105,                    Work Space Locator App                ,"                   Central, Switzerland                ",https://www.australianinvestmentnetwork.com/business-proposals/work-space-locator-app-15-1239699
106,                   Work Space Locator App                ,"                   Central, Switzerland                ",https://www.australianinvestmentnetwork.com/business-proposals/work-space-locator-app-15-1237718
107,                   Power Woman                ,"                   Sweden, Sweden                ",https://www.australianinvestmentnetwork.com/business-proposals/power-woman-15-1239667
108,                   Club Shares                ,"                   Auckland, New Zealand                ",https://www.australianinvestmentnetwork.com/business-proposals/club-shares-15-1164430
109,                   First Autism Buyers Club                ,"                   West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/first-autism-buyers-club-15-1184787
110,                   12% PA Return In Property                ,"                   Auckland, New Zealand                ",https://www.australianinvestmentnetwork.com/business-proposals/12-pa-return-property-15-1233793
111,                   Character = Destiny                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/character-destiny-15-1111093
112,                   Fair Forex                 ,"                   West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/fair-forex-15-1237849
113,                   Hypervolt - Smart EV                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/hypervolt-smart-ev-15-1152880
114,                   British Design Fund 4                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/british-design-fund-4-15-1228832
115,                   DohYangu Pre-Seed Round                ,                   Kenya                ,https://www.australianinvestmentnetwork.com/business-proposals/dohyangu-pre-seed-round-15-1228544
116,                   Luxury Beach Condos - LBI                ,"                   North East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/luxury-beach-condos-lbi-15-1225379
117,                   Longevity Clinic 48%-98%                ,"                   Geneva, Switzerland                ",https://www.australianinvestmentnetwork.com/business-proposals/longevity-clinic-48-98--15-1226065
118,                   X Lead Digital Funnel                ,"                   Hong Kong, Hong Kong                ",https://www.australianinvestmentnetwork.com/business-proposals/x-lead-digital-funnel-15-1218632
119,                   ALL-IN-ONE WEB & BIZ ...                ,"                   Midwest, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/all-one-web-biz-dev-15-1163982
120,                   5Minutes Blockchain Co.                ,"                   Ontario, Canada                ",https://www.australianinvestmentnetwork.com/business-proposals/5minutes-blockchain-co-15-1232120
121,                   ESTIMATED ROI: 272%-466%                ,                   Australia                ,https://www.australianinvestmentnetwork.com/business-proposals/estimated-roi-272-466--15-1182714
122,                   AXIOM Holographics                ,"                   South West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/axiom-holographics-15-1165680
123,                   RED VIVIENDA                ,"                   Fuera de América del Sur, Panama                ",https://www.australianinvestmentnetwork.com/business-proposals/red-vivienda-15-1218270
124,                   Stockably                 ,"                   Western Cape, South Africa                ",https://www.australianinvestmentnetwork.com/business-proposals/stockably-15-1242820
125,                   FRAYT Seed Raise                ,"                   Midwest, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/frayt-seed-raise-15-1225547
126,                   Toolbox                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/toolbox-15-1168519
127,                   Car Sharing Marketplace                ,"                   Ontario, Canada                ",https://www.australianinvestmentnetwork.com/business-proposals/car-sharing-marketplace-15-1226926
128,                   ITV Backed Gaming Scaleup                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/itv-backed-gaming-scaleup-15-1232046
129,                   Green Electrical Energy                ,"                   North East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/green-electrical-energy-15-1231061
130,                   Servio Capital Fund                ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/servio-capital-fund-15-1144635
131,                   ESTIMATED ROI: 273%-466%                ,                   USA                ,https://www.australianinvestmentnetwork.com/business-proposals/estimated-roi-273-466--15-1221818
132,                   Digitalizing MSMEs in SEA                ,"                   Singapore, Singapore                ",https://www.australianinvestmentnetwork.com/business-proposals/digitalizing-msmes-sea-15-674307
133,                   Personalised Co                 ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/personalised-co-15-1225869
134,                   Medical Cannabis Pre-IPO                ,                   South Africa                ,https://www.australianinvestmentnetwork.com/business-proposals/medical-cannabis-pre-ipo-15-1223112
135,                   The New Way Of Writing!                ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/the-new-way-writing-15-1255516
136,                   The Grill Pub Co                ,"                   W. Midlands, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/the-grill-pub-co-15-1248101
137,                   Aura House                 ,"                   Singapore, Singapore                ",https://www.australianinvestmentnetwork.com/business-proposals/aura-house-15-1255355
138,                   ProInteractive                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/prointeractive-15-1249908
139,                   255 MWp Solarpark                ,                   Switzerland                ,https://www.australianinvestmentnetwork.com/business-proposals/255-mwp-solarpark-15-1247317
140,                   Co Charger EV Network                ,"                   South West, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/co-charger-ev-network-15-1246578
141,"                   Your Loan  = Equity, too                ","                   Midwest, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/your-loan-equity-too-15-1220285
142,                   BreezeMove - PropTech                 ,"                   North West, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/breezemove-proptech-15-1199737
143,                   Mamma Wellbeing                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/mamma-wellbeing-15-1102495
144,                   Njori                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/njori-15-946942
145,                   TRAIVIS/ E-learning                 ,"                   North East, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/traivis-e-learning-15-1246916
146,                   Online Platform Biz                 ,"                   Mindanao, Philippines                ",https://www.australianinvestmentnetwork.com/business-proposals/online-platform-biz-15-1153411
147,                   The Future of Payroll                ,"                   North West, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/the-future-payroll-15-1249711
148,                   1 Stop Car Services App                ,"                   Sindh, Pakistan                ",https://www.australianinvestmentnetwork.com/business-proposals/1-stop-car-services-app-15-1049545
149,                   West Chevington Farm                ,"                   North East, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/west-chevington-farm-15-1244961
150,                   Green Energy Allies                 ,                   Austria                ,https://www.australianinvestmentnetwork.com/business-proposals/green-energy-allies-15-1237377
151,                   Enterprise Screening AI                ,"                   Singapore, Singapore                ",https://www.australianinvestmentnetwork.com/business-proposals/enterprise-screening-ai-15-1172826
152,"                   Mira, The Learning Coach                ","                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/mira-the-learning-coach-15-1234739
153,                   Mountbase                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/mountbase-15-1244309
154,"                   Creches, Online Preschool                ","                   Telangana, India                ",https://www.australianinvestmentnetwork.com/business-proposals/creches-online-preschool-15-78946
155,                   Wellbeing Sisters                ,"                   South East, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/wellbeing-sisters-15-1128079
156,                   ArcX Technology                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/arcx-technology-15-748830
157,                   Metaverse Analytics                ,"                   Ontario, Canada                ",https://www.australianinvestmentnetwork.com/business-proposals/metaverse-analytics-15-1239460
158,                   Active Innovation Tech                ,"                   North East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/active-innovation-tech-15-1250185
159,                   INOPTEC Ltd.                ,"                   W. Midlands, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/inoptec-ltd-15-742312
160,                   Savortex Limited                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/savortex-limited-15-1246879
161,                   Fresh Foods Expansion                 ,"                   West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/fresh-foods-expansion-15-1248701
162,                   Initsys Ltd                ,"                   East Midlands, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/initsys-ltd-15-877842
163,                   100% nachhaltige Naturkos...                ,"                   Vorarlberg, Austria                ",https://www.australianinvestmentnetwork.com/business-proposals/100-nachhaltige-naturkosmetik-15-1208997
164,                   Imperium Isles                ,                   Saint Vincent                ,https://www.australianinvestmentnetwork.com/business-proposals/imperium-isles-15-1248582
165,                   nHouse final seed raise                ,"                   South East, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/nhouse-final-seed-raise-15-888814
166,                   Suncamino Floral Rum                 ,"                   Western Cape, South Africa                ",https://www.australianinvestmentnetwork.com/business-proposals/suncamino-floral-rum-15-1166717
167,                   Fireseed                ,"                   Wellington , New Zealand                ",https://www.australianinvestmentnetwork.com/business-proposals/fireseed-15-1225130
168,                   Infinity Invest                ,"                   Gauteng, South Africa                ",https://www.australianinvestmentnetwork.com/business-proposals/infinity-invest-15-1206331
169,                   KB Crypto Hedge Fund                ,"                   Alberta, Canada                ",https://www.australianinvestmentnetwork.com/business-proposals/kb-crypto-hedge-fund-15-1156005
170,                   Porter                ,"                   Wales, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/porter-15-1071058
171,                   Metavo....for your health                ,                   Canada                ,https://www.australianinvestmentnetwork.com/business-proposals/metavofor-your-health-15-1208863
172,                   PsychOnline                 ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/psychonline-15-1207736
173,                   Vuba Driverless Transit                ,"                   South West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/vuba-driverless-transit-15-1229510
174,                   Social Network for Habits                ,                   Germany                ,https://www.australianinvestmentnetwork.com/business-proposals/social-network-for-habits-15-1227868
175,                   Plumbing Company                ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/plumbing-company-15-1228984
176,                   Real Estate Market                ,"                   Midwest, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/real-estate-market-15-1227279
177,                   Wannabetonit                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/wannabetonit-15-960411
178,                   Bella's Boutique Hot...                ,"                   West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/bellas-boutique-hotel-15-1129498
179,                   Artform Platform                ,                   Ireland                ,https://www.australianinvestmentnetwork.com/business-proposals/artform-platform-15-1196203
180,                   Squeaky Attachable Bidet                ,"                   Hong Kong, Hong Kong                ",https://www.australianinvestmentnetwork.com/business-proposals/squeaky-attachable-bidet-15-1222109
181,                   Ist Intl Online Lottery                ,"                   West, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/ist-intl-online-lottery-15-1222065
182,                   Music Distribution & ...                ,                   Belgium                ,https://www.australianinvestmentnetwork.com/business-proposals/music-distribution-data-15-1110833
183,                   Service Operations SaaS                ,"                   North East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/service-operations-saas-15-1221645
184,                   Patented Drone Seriese A                ,                   Latvia                ,https://www.australianinvestmentnetwork.com/business-proposals/patented-drone-seriese-a-15-1195314
185,                   Concord - for communities                ,"                   Gauteng, South Africa                ",https://www.australianinvestmentnetwork.com/business-proposals/concord-for-communities-15-1243126
186,                   Legal Social Media 4 All                ,"                   Midwest, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/legal-social-media-4-all-15-1218389
187,                   Swiss Cell and Gene                 ,"                   North Western, Switzerland                ",https://www.australianinvestmentnetwork.com/business-proposals/swiss-cell-and-gene-15-1248895
188,                   Hotei Energy                 ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/hotei-energy-15-1156642
189,                   Hospitality Software                ,"                   Auckland, New Zealand                ",https://www.australianinvestmentnetwork.com/business-proposals/hospitality-software-15-1255491
190,                   BIDME APP                ,"                   South East, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/bidme-app-15-1243975
191,                   Nwokie Organic Aqua Farm                 ,"                   Midwest, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/nwokie-organic-aqua-farm-15-1237731
192,                   Own % 5GNetwork Expansion                ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/own-5gnetwork-expansion-15-1232454
193,                   First ever NFT Lounge                ,"                   South East, USA                ",https://www.australianinvestmentnetwork.com/business-proposals/first-ever-nft-lounge-15-1255474
194,                   STAXY Ltd                ,"                   London, United Kingdom                ",https://www.australianinvestmentnetwork.com/business-proposals/staxy-ltd-15-1238328
195,                   Coal Mine Investment Oppo...                ,                   Venezuela                ,https://www.australianinvestmentnetwork.com/business-proposals/coal-mine-investment-opportunity-15-1254918
196,                   Verdi                 ,                   Croatia                ,https://www.australianinvestmentnetwork.com/business-proposals/verdi-15-1254663
197,                   Neufeld industries                ,"                   Chihuahua, Mexico                ",https://www.australianinvestmentnetwork.com/business-proposals/neufeld-industries-15-1225708
198,                   Bonatra Pitch                ,"                   Karnataka, India                ",https://www.australianinvestmentnetwork.com/business-proposals/bonatra-pitch-15-1254766
199,                   Refined Satellite Telecom                ,"                   Manila, Philippines                ",https://www.australianinvestmentnetwork.com/business-proposals/refined-satellite-telecom-15-1229048
200,                   10% Monthly Return                 ,"                   Limpopo, South Africa                ",https://www.australianinvestmentnetwork.com/business-proposals/10-monthly-return-15-1234950
